"ID","AREA","NAME","TYPE","SUMMARY","ADDRESS","PAYEX","SERVICETIME","TW97X","TW97Y","TOTALCAR","TOTALMOTOR","lat","lng","formattedAddress"
"10050","板橋區","新北市立江翠國民中學學生活動中心地下停車場","2","立體式多目標附建停車場","新北市板橋區松江街63號江翠國中活動中心B1","小型車計時每小時20元;小型車月租每月4000元;","0~24時","297303.5","2769047","49","0",25.028778569385512,121.46873578548224,"220台灣新北市板橋區松江街90-110號"
"10040","板橋區","正隆公園地下停車場","2","立體式多目標附建停車場","板橋區民生路一段26-1號B1、B2","小型車計時每小時30元;小型車計時每小時20元;小型車月租每月4000元;身障車月租每月2500元;","0~24時","298161","2767203","275","0",25.012103819268614,121.4771682603192,"220台灣新北市板橋區民生路一段26號"
"10042","板橋區","新北市藝文中心平面停車場","2","平面式多目標附建停車場","新北市板橋區莊敬路62號","小型車計時每小時30元;","0~24時","297652.5","2768767.5","80","0",25.02624428598714,121.47218431834325,"220台灣新北市板橋區莊敬路62號"
"10042","板橋區","新北市藝文中心平面停車場","2","平面式建築附設停車空間","新北市板橋區莊敬路62號",,"0~24時","297652.5","2768767.5",,,25.02624428598714,121.47218431834325,"220台灣新北市板橋區莊敬路62號"
"10042","板橋區","新北市藝文中心平面停車場","2","立體式建築附設停車空間","新北市板橋區莊敬路62號","小型車計時每小時30元;","0~24時","297652.5","2768767.5","80","0",25.02624428598714,121.47218431834325,"220台灣新北市板橋區莊敬路62號"
"10124","板橋區","新北市政府江翠停五停車場","2","平面式臨時路外停車場","新北市板橋區中正路560號","小型車計時每小時30元;小型車月租每月3000元;機車免費免費;","0~24時","296005.3","2768957","392","80",25.02800605368989,121.45586909599152,"220台灣新北市板橋區中正路546號"
"10070","板橋區","三民地下停車場","2","立體式建築附設停車空間","新北市板橋區三民路1段210及212號B5及B6","小型車計時每小時60元;小型車月租每月5000元;","0~24時","297441.5","2767392.5","50","0",25.013837339450795,121.47004632021753,"220台灣新北市板橋區114縣道210號"
"10182","板橋區","新都41停車場","2","平面式臨時路外停車場","新北市板橋區溪頭街與大漢街交叉口處","小型車計時每小時20元;小型車月租每月2000元;","0~24時","296572.8103","2769299.853","13","0",25.031083995863003,121.46150402247517,"220台灣新北市板橋區溪頭街165號"
"10045","板橋區","聖若望平面停車場","1","平面式臨時路外停車場","新北市板橋區南雅西路2段7巷底","小型車計時每小時30元;小型車月租每月2700元;身障車月租每月2000元;","0~24時","295609","2766912","77","0",25.009555626096997,121.45187464499945,"220台灣新北市板橋區板城路430號"
"10038","板橋區","南雅西路環河平面停車場","1","平面式臨時路外停車場","新北市板橋區南雅西路2段175巷口","小型車計時每小時30元;小型車月租每月2700元;身障車月租每月2000元;","0~24時","295556","2767303.5","20","0",25.01309171688655,121.4513624753833,"220台灣新北市板橋區板城路"
"10014","板橋區","民生公園地下停車場","1","立體式多目標附建停車場","板橋區民生路一段30號B1","小型車計時每小時30元;小型車月租每月3600元;","0~24時","298073.5","2767359","164","0",25.01351497480755,121.47630678648211,"220台灣新北市板橋區三民路二段正隆巷71號"
"10009","板橋區","民權立體停車場","1","立體式都市計畫停車場","新北市板橋區民權路89號","小型車計時每小時30元;小型車月租每月3600元;","0~24時","296477","2767184","154","0",25.011984885304464,121.46048336187485,"220台灣新北市板橋區文化路一段52巷13號"
